trade_name,concentration,company,pharmaceutical_form,display_name
Avanjoy,200mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,Avanjoy 200mg
Pentasovir,400mg,penta pharma egypt,Film Coated Tablets,Pentasovir 400mg
Veiwpsy,400mg,organo for pharmaceutical and chemical industries (organo pharma),Film Coated Tablets,Veiwpsy 400mg
Vetorelaxia,100mg/2ml,vetopharm nerhado international for pharmaceuticals and chemicals,"Solution for I.M Injection ,I.V Injection/Infusion",Vetorelaxia 100mg/2ml
OXALIPLATIN ACTAVIS,50mg,forward pharma,Powder for Solution for I.V Infusion,OXALIPLATIN ACTAVIS 50mg
VINORELBINE ACTAVIS,10mg/ml,actavis scientific office,Concentrate For Solution For I.V Infusion,VINORELBINE ACTAVIS 10mg/ml
IRINOTECAN ACTAVIS 20 mg/ml,20mg/ml,actavis scientific office,Concentrate For Solution For I.V Infusion,IRINOTECAN ACTAVIS 20 mg/ml 20mg/ml
CARBOPLATIN ACTAVIS,450mg/45ml,actavis scientific office,Concentrate For Solution For I.V Infusion,CARBOPLATIN ACTAVIS 450mg/45ml
AIADOXIME,100mg/5ml,organo for pharmaceutical and chemical industries (organo pharma),Powder for Oral Suspension,AIADOXIME 100mg/5ml
TOBREX 2x,3mg/ml,Novartis pharma Scientific Office,Eye Drops,TOBREX 2x 3mg/ml
VARDENA,20mg,SAJA Pharmaceuticals Egypt - SAJA,Tablets,VARDENA 20mg
ANTHRA WEST,1gm/100g,Western Pharmaceuticals Industries,Topical Cream,ANTHRA WEST 1gm/100g
CERENTIA 8.31mg,8.31mg,Hikma pharma,Film Coated Tablets,CERENTIA 8.31mg 8.31mg
OXYBIN,5mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,OXYBIN 5mg
DONHIMER,10mg,Apex pharma,Film Coated Tablets,DONHIMER 10mg
NERHAMICIN 0.3%,0.3gm/100g,vetopharm nerhado international for pharmaceuticals and chemicals,Topical Cream,NERHAMICIN 0.3% 0.3gm/100g
MOTIJUST 2mg,2mg,International drug agency for pharmaceutical industry (IDI),Hard Gelatin Capsules,MOTIJUST 2mg 2mg
NEBASCO,5mg,Tabuk Pharmaceutical Manufacturing Co.Egypt - local under construction,Tablets,NEBASCO 5mg
MISACLOR 250 mg /5 ml,250mg/5ml,Mash for pharmaceutical Industries and cosmetic - mash premiere,Powder for Oral Suspension,MISACLOR 250 mg /5 ml 250mg/5ml
